Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_max_xcorr_th;[7:0];8'd134;R/W;;;;
0x003C;DOTB_DAGC;pclk;reset_n;;;;[31:30];2'd0;RO;;;;
;;;;;;reg_dagc_target_pow;[29:24];6'd8;R/W;;;;
;;;;;;reg_dagc_adjust_pow_th;[23:14];10'd1023;R/W;;;;
;;;;;;reg_11b_dagc_win_length;[13:13];1'b1;R/W;;;;
;;;;;;reg_11b_dagc_scale_factor_for_multi_rx;[12:5];8'd192;R/W;;;;
;;;;;;reg_11b_pow_surge_th;[4:0];5'd5;R/W;;;;
0x0040;DOTB_DAGC_GAIN;pclk;reset_n;;;;[31:28];3'd0;RO;;;;
;;;;;;reg_11b_pre_comp_freq_offset_inv;[27];1'b0;R/W;;;;
;;;;;;reg_11b_pre_comp_freq_offset;[26:11];16'd0;R/W;;;;
;;;;;;reg_11b_dagc_gain_force_en;[10];1'b0;R/W;;;;
;;;;;;reg_11b_dagc_gain;[9:0];10'd1;R/W;;;;
0x0044;DOTB_PWR_SURFE;pclk;reset_n;;;;[31:25];7'd0;RO;;;;
;;;;;;reg_11b_pow_surge_th_dagc_statge;[24:20];5'd2;R/W;;;;
;;;;;;reg_11b_pow_surge_max_pow_th;[19:8];12'd3277;R/W;;;;
;;;;;;reg_11b_pow_surge_min_power_th;[7:0];8'd40;R/W;;;;
0x0048;DOTB_PHASE;pclk;reset_n;;;;[31:30];2'd0;R/W;;;;
;;;;;;reg_11b_sco_reserve;[29:25];5'd0;R/W;;;;~
;;;;;;reg_11b_dagc_high_rssi_th;[24:17];8'd15;R/W;;;;
;;;;;;reg_11b_pre_comp_sco_ppm_inv;[16];1'b0;R/W;;;;
;;;;;;reg_11b_pre_comp_sco_ppm;[15:0];16'd0;R/W;;;;
0x004C;DOTB_PHASE_PPM;pclk;reset_n;;;;[31:16];16'd0;R/W;;;;
;;;;;;reg_11b_mixer_pre_freq_ppm_sco;[15:0];16'd0;R/W;;;;~
0x0050;DOTB_ACQ;pclk;reset_n;;;;[31:31];1'd0;RO;;;;
