Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_sau_num_atstf_th;[9:5];5'h5;R/W;;;;
;;;;;;reg_sau_atstf_win;[4:0];5'h8;R/W;;;;
0x0038;AGC_CONF11;pclk;reset_n;;;;[31:24];4'h0;RO;;;;
;;;;;;reg_sat_unlock_th4ltf;[23:22];2'h1;R/W;;;;
;;;;;;reg_gain_drop_fir;[21:15];7'h3c;R/W;;;;
;;;;;;reg_gain_drop_sec;[14:8];7'h46;R/W;;;;
;;;;;;reg_sat_val_b4ltf_th;[7:0];8'h50;R/W;;;;
0x003C;AGC_CONF12;pclk;reset_n;;;;[31];1'h0;RO;;;;
;;;;;;reg_adj_times_trackrf_ud;[30:29];2'h2;R/W;;;;
;;;;;;reg_adj_times_track2_fine;[28:27];2'h0;R/W;;;;
;;;;;;reg_adj_times_track2_coarse;[26];1'h1;R/W;;;;
;;;;;;reg_skip_fine;[25];1'h0;R/W;;;;
;;;;;;reg_max_times_agc_coarse;[24:23];2'h1;R/W;;;;
;;;;;;reg_max_times_agc_fine;[22:21];2'h1;R/W;;;;
;;;;;;reg_time_2_sta_htstf_measure;[20:15];6'h4;R/W;;;;
;;;;;;reg_exlna_time;[14:10];5'h14;R/W;;;;
;;;;;;reg_intlna_time;[9:5];5'h14;R/W;;;;
;;;;;;reg_vga_time;[4:0];5'h8;R/W;;;;
0x0040;AGC_CONF13;pclk;reset_n;;;;[31:23];9'h0;RO;;;;
;;;;;;reg_rf_gain_offset;[22:17];6'd10;R/W;;;;~
;;;;;;reg_max_times_agc_htstf;[16:14];3'h1;R/W;;;;
;;;;;;reg_agc_ctrl_target_db;[13:7];7'h6c;R/W;;;;
;;;;;;reg_htstf_agc_target;[6:0];7'h6c;R/W;;;;
0x0044;AGC_CONF14;pclk;reset_n;;;;[31:14];18'h0;RO;;;;
;;;;;;reg_agc_rst_pkt_end_dly;[13:8];6'h14;R/W;;;;~
;;;;;;reg_agc_unlkth_lockpwr;[7:0];8'hb0;R/W;;;;
0x0048;AGC_CONF15;pclk;reset_n;;;;[31:27];4'h0;RO;;;;
;;;;;;reg_adc_tgt_unlk_upth_atb4stf_det_flag;[26:18];9'hc8;R/W;;;;
;;;;;;reg_adc_tgt_unlk_lowth_atb4stf_det_flag;[17:9];9'h138;R/W;;;;
;;;;;;reg_adc_tgt_unlk_upth_atb4stf_det2_flag;[8:0];9'hc8;R/W;;;;
0x004C;AGC_CONF16;pclk;reset_n;;;;[31:27];4'h0;RO;;;;
;;;;;;reg_adc_tgt_unlk_lowth_atb4stf_det2_flag;[26:18];9'h138;R/W;;;;
;;;;;;reg_adc_tgt_unlk_upth_atstf_det_flag;[17:9];9'hc8;R/W;;;;
;;;;;;reg_adc_tgt_unlk_lowth_atstf_det_flag;[8:0];9'h138;R/W;;;;
0x0050;AGC_CONF17;pclk;reset_n;;;;[31:27];4'h0;RO;;;;
;;;;;;reg_adc_tgt_unlk_upth_atltf_det_flag;[26:18];9'hc8;R/W;;;;
;;;;;;reg_adc_tgt_unlk_lowth_atltf_det_flag;[17:9];9'h138;R/W;;;;
;;;;;;reg_pk_pow_unlk_upth_atb4stf_det_flag;[8:0];9'h12;R/W;;;;
0x0054;AGC_CONF18;pclk;reset_n;;;;[31:27];4'h0;RO;;;;
;;;;;;reg_pk_pow_unlk_lowth_atb4stf_det_flag;[26:18];9'h1ee;R/W;;;;
;;;;;;reg_pk_pow_unlk_upth_atb4stf_det2_flag;[17:9];9'hc;R/W;;;;
;;;;;;reg_pk_pow_unlk_lowth_atb4stf_det2_flag;[8:0];9'h1f4;R/W;;;;
0x0058;AGC_CONF19;pclk;reset_n;;;;[31:27];4'h0;RO;;;;
;;;;;;reg_pk_pow_unlk_upth_atstf_det_flag;[26:18];9'hc8;R/W;;;;
;;;;;;reg_pk_pow_unlk_lowth_atstf_det_flag;[17:9];9'h138;R/W;;;;
;;;;;;reg_pk_pow_unlk_upth_atltf_det_flag;[8:0];9'hc8;R/W;;;;
0x005C;AGC_CONF20;pclk;reset_n;;;;[31:27];4'h0;RO;;;;
;;;;;;reg_pk_pow_unlk_lowth_atltf_det_flag;[26:18];9'h138;R/W;;;;
;;;;;;reg_pow_unlk_upth_atb4stf_det_flag;[17:9];9'hc;R/W;;;;
;;;;;;reg_pow_unlk_lowth_atb4stf_det_flag;[8:0];9'h1ee;R/W;;;;
0x0060;AGC_CONF21;pclk;reset_n;;;;[31:27];4'h0;RO;;;;
;;;;;;reg_pow_unlk_upth_atb4stf_det2_flag;[26:18];9'h6;R/W;;;;
;;;;;;reg_pow_unlk_lowth_atb4stf_det2_flag;[17:9];9'h1f4;R/W;;;;
;;;;;;reg_pow_unlk_upth_atstf_det_flag;[8:0];9'h14;R/W;;;;
0x0064;AGC_CONF22;pclk;reset_n;;;;[31:27];4'h0;RO;;;;
;;;;;;reg_pow_unlk_lowth_atstf_det_flag;[26:18];9'h1ec;R/W;;;;
;;;;;;reg_pow_unlk_upth_atltf_det_flag;[17:9];9'h28;R/W;;;;
;;;;;;reg_pow_unlk_lowth_atltf_det_flag;[8:0];9'h1d8;R/W;;;;
0x0068;AGC_CONF23;pclk;reset_n;;;reg_fir_pow_unlk_upth_atb4stf_det_flag;[31:24];8'd12;R/W;;;;
;;;;;;reg_fir_pow_unlk_lowth_atb4stf_det_flag;[23:16];8'hee;R/W;;;;
;;;;;;reg_fir_pow_unlk_upth_atb4stf_det2_flag;[15:8];8'h6;R/W;;;;
;;;;;;reg_fir_pow_unlk_lowth_atb4stf_det2_flag;[7:0];8'hf4;R/W;;;;
0x006C;AGC_CONF24;pclk;reset_n;;;reg_fir_pow_unlk_upth_atstf_det_flag;[31:24];8'h14;R/W;;;;
;;;;;;reg_fir_pow_unlk_lowth_atstf_det_flag;[23:16];8'hec;R/W;;;;
