Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_dpd_cfr_thd_width_ch1;[15:13];3'd0;R/W;;;;~
;;;;;;reg_dpd_cfr_thd_ch1;[12:1];12'd0;R/W;;;;~
;;;;;;reg_dpd_cfr_force_en_ch1;[0];1'd0;R/W;;;;~
0x0034;DPD_CTRL_CFG0;pclk;reset_n;;;;[31:25];7'h0;RO;;;;
;;;;;;reg_dpd_lut_update_thr1;[24:19];6'd32;R/W;;;;
;;;;;;reg_dpd_lut_update_thr;[18:14];5'd2;R/W;;;;
;;;;;;reg_dump_length;[13:1];13'd1023;R/W;;;;~
;;;;;;reg_dump_en;[0];1'd0;R/W;;;;~
0x0038;DPD_CTRL_CFG1;pclk;reset_n;;;;[31];1'h0;RO;;;;
;;;;;;reg_rd_trigger_delay;[30:23];8'd0;R/W;;;;~
;;;;;;reg_dpd_dly_us_num;[22:10];13'd0;R/W;;;;
;;;;;;reg_dpd_dly_clk_num;[9:0];10'd0;R/W;;;;
0x003C;DPD_CTRL_CFG2;pclk;reset_n;;;reg_dpd_itera_thd1;[31:16];16'd4000;R/W;;;;
;;;;;;reg_dpd_itera_thd0;[15:0];16'd2000;R/W;;;;
0x0040;DPD_CTRL_CFG3;pclk;reset_n;;;;[31:22];10'h0;RO;;;;
;;;;;;reg_dpd_u_cfg1;[21:11];11'd10;R/W;;;;
;;;;;;reg_dpd_u_cfg0;[10:0];11'd102;R/W;;;;
0x0044;DPD_CTRL_CFG4;pclk;reset_n;;;reg_dpd_itera_times;[31:16];16'd8192;R/W;;;;
;;;;;;reg_dpd_max_err_thd;[15:0];16'd8000;R/W;;;;
0x0048;DPD_CTRL_CFG5;pclk;reset_n;;;;[31];1'h0;RO;;;;
;;;;;;reg_dpd_feedback_rx_iq_sel;[30];1'd0;R/W;;;;~
;;;;;;reg_dpd_u_cfg2;[29:19];11'd1;R/W;;;;
;;;;;;reg_dpd_sign_map_zero_mod;[18];1'd0;R/W;;;;
;;;;;;reg_dpd_sign_lms_mod;[17];1'd1;R/W;;;;
;;;;;;reg_dpd_feedback_iir_sel;[16];1'd0;R/W;;;;~
;;;;;;reg_dpd_itera_clr;[15];1'd0;R/W;;;;~
;;;;;;reg_dpd_test_mode;[14:13];2'd0;R/W;;;;~
;;;;;;reg_dpd_test_sel;[12:9];4'd0;R/W;;;;~
;;;;;;reg_dpd_iq_frac_sel;[8];1'd0;R/W;;;;~
;;;;;;reg_tx_channel_sel;[7];1'd0;R/W;;;;~
;;;;;;reg_rx_channel_sel;[6];1'd0;R/W;;;;~
;;;;;;reg_dpd_ref_sel;[5];1'd0;R/W;;;;~
;;;;;;reg_tx_rx_sel;[4];1'd0;R/W;;;;~
;;;;;;reg_dump_trigger_sel;[3];1'd0;R/W;;;;~
;;;;;;reg_loop_dec_sel;[2];1'd0;R/W;;;;~
;;;;;;reg_dec_phase_init;[1];1'd0;R/W;;;;~
;;;;;;reg_dpd_adap_update_en;[0];1'd0;R/W;;;;~
0x004C;DPD_CTRL_CFG12;pclk;reset_n;;;;[31];1'b0;RO;;;;
;;;;;;reg_dpd_iq_post_adc_phase;[30:28];3'd0;R/W;;;;~
;;;;;;reg_dpd_iq_post_adc_phase_ofs;[27:25];3'd0;R/W;;;;~
;;;;;;reg_dpd_iq_adc_rate;[24:23];2'd0;R/W;;;;~
;;;;;;reg_dpd_gain_comp_en;[22];1'd0;R/W;;;;~
;;;;;;reg_dpd_gain_comp_i_ch0;[21:11];11'd10;R/W;;;;~
;;;;;;reg_dpd_gain_comp_q_ch0;[10:0];11'd0;R/W;;;;~
0x0050;DPD_CTRL_CFG6;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_dpd_to_rxhbf_srst_on;[27];1'd0;R/W;;;;~
;;;;;;reg_dpd_rxhbf_srst_en;[26:24];3'd3;R/W;;;;~
;;;;;;reg_dpd_lut_update_gap;[23:18];6'd0;R/W;;;;
;;;;;;reg_dpd_dump_rpt_clr;[17];1'd0;R/W;;;;~
;;;;;;reg_dpd_ctrl_dly_frac_en;[16];1'd0;R/W;;;;~
;;;;;;reg_dpd_ctrl_dly1_en;[15];1'd0;R/W;;;;~
;;;;;;reg_dpd_ctrl_dly1_int;[14:8];7'd0;R/W;;;;~
;;;;;;reg_dpd_ctrl_dly0_int;[7:1];7'd0;R/W;;;;~
;;;;;;reg_dpd_ctrl_dly0_en;[0];1'd0;R/W;;;;~
0x0054;DPD_CTRL_CFG7;pclk;reset_n;;;reg_dpd_dec_adap_dly_force_en;[31];1'h0;R/W;;;;
;;;;;;reg_dpd_txrx_phase_rpt;[30];1'd0;RO;;;;~
;;;;;;reg_fft_scale_factor0;[29:26];4'd0;RO;;;;~
;;;;;;reg_fft_scale_factor1;[25];1'd0;RO;;;;~
;;;;;;reg_dpd_cali_gain_i;[24:3];22'd0;RO;;;;~
;;;;;;reg_dpd_cali_result_clr;[2];1'd0;R/W;;;;~
;;;;;;reg_dpd_cali_gain_done;[1];1'd0;RO;;;;~
;;;;;;reg_dpd_cali_delay_done;[0];1'd0;RO;;;;~
0x0058;DPD_CTRL_CFG8;pclk;reset_n;;;;[31:22];10'h0;RO;;;;
;;;;;;reg_dpd_cali_gain_q;[21:0];22'd0;RO;;;;~
0x005C;DPD_CTRL_CFG9;pclk;reset_n;;;;[31:14];18'h0;RO;;;;
;;;;;;reg_dpd_cali_win_data;[13:0];14'd0;RO;;;;~
0x0060;DPD_CTRL_CFG10;pclk;reset_n;;;;[31:16];16'h0;RO;;;;
;;;;;;reg_dpd_rd_times_rpt;[15:8];8'd0;RO;;;;~
;;;;;;reg_dpd_dump_times_rpt;[7:0];8'd0;RO;;;;~
0x0064;DPD_CTRL_CFG11;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_dpd_max_err;[27:18];10'd0;RO;;;;~
;;;;;;reg_dpd_itera_busy;[17];1'd0;RO;;;;~
;;;;;;reg_dpd_itera_done;[16];1'd0;RO;;;;~
;;;;;;reg_dpd_itera;[15:0];16'd0;RO;;;;~
0x0068;TX_DIGANA_CFG1;pclk;reset_n;;;reg_tx_dig_2nd_gain;[31:24];8'b0;R/W;;;;~
