Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_amp_avg_symnum_thre;[17:14];4'd10;R/W;;;;
;;;;;;reg_tb_data_refine_acc_num   ;[13:12];2'd2;R/W;;;;~
;;;;;;reg_tb_datafreqoffset_dis_len;[11:10];2'd3;R/W;;;;~
;;;;;;reg_dc_weight_freqshift_thre;[9:0];10'd0;R/W;;;;
0x002C;CHNEST_CONF9;pclk;reset_n;;;reg_hltf_smooth_snr_thre;[31:26];6'd45;R/W;;;;
;;;;;;reg_data_amp_track_en      ;[25];1'd1 ;R/W;;;;
;;;;;;reg_nonhe_data_amp_avg_len ;[24:22];3'd5 ;R/W;;;;
;;;;;;reg_he_data_amp_avg_len    ;[21:19];3'd5 ;R/W;;;;
;;;;;;reg_tb_data_amp_avg_len    ;[18:17];2'd2 ;R/W;;;;~
;;;;;;reg_amp_avg_ref_thre       ;[16:11];6'd10;R/W;;;;
;;;;;;reg_hltf_mumimo_smooth_thre;[10:7];4'd2;R/W;;;;
;;;;;;reg_csi_en                 ;[6];1'd0;R/W;;;;
;;;;;;reg_csi_pilot_deci_ratio   ;[5:2];4'd0 ;R/W;;;;
;;;;;;reg_nonht_ftm_bw_mode;[1];1'h0;R/W;;;;
;;;;;;reg_nonht_ftm_mode;[0];1'h0;R/W;;;;
0x0030;CHNEST_CONF10;pclk;reset_n;;;;[31:5];27'h0;RO;;;;~
;;;;;;reg_bw_det_bypass_en;[4:2];3'h0;R/W;;;;~
;;;;;;reg_csi_test_en ;[1];1'h0;R/W;;;;~
;;;;;;reg_csi_dump_en ;[0];1'h0;R/W;;;;~
0x0034;CHNEST_CONF11;pclk;reset_n;;;reg_chnest_0rsv;[31:0];32'd0;R/W;;;;~
0x0038;RXCTRLFD_CONF0;pclk;reset_n;;;;[31:11];21'h0;RO;;;;
;;;;;;reg_hedlmu_user_sta_id;[10:0];11'h0;R/W;;;;~
0x003C;RXCTRLFD_CONF1;pclk;reset_n;;;;[31:13];19'h0;RO;;;;
;;;;;;reg_hedlmu_board0_id_en;[12];1'h0;R/W;;;;~
;;;;;;;[11];1'h0;RO;;;;
;;;;;;reg_hedlmu_board0_id;[10:0];11'h0;R/W;;;;~
0x0040;RXCTRLFD_CONF2;pclk;reset_n;;;;[31:13];19'h0;RO;;;;
;;;;;;reg_hedlmu_board1_id_en;[12];1'h0;R/W;;;;~
;;;;;;;[11];1'h0;RO;;;;
;;;;;;reg_hedlmu_board1_id;[10:0];11'h0;R/W;;;;~
0x0044;RXCTRLFD_CONF3;pclk;reset_n;;;;[31:13];19'h0;RO;;;;
;;;;;;reg_hedlmu_board2_id_en;[12];1'h0;R/W;;;;~
;;;;;;;[11];1'h0;RO;;;;
;;;;;;reg_hedlmu_board2_id;[10:0];11'h0;R/W;;;;~
0x0048;RXCTRLFD_CONF4;pclk;reset_n;;;reg_vht_mumimo_useridx_0map;[31:0];32'h0;R/W;;;;~
0x004C;RXCTRLFD_CONF5;pclk;reset_n;;;reg_vht_mumimo_useridx_1map;[31:0];32'h0;R/W;;;;~
0x0050;RXCTRLFD_CONF6;pclk;reset_n;;;reg_vht_mumimo_useridx_2map;[31:0];32'h0;R/W;;;;~
0x0054;RXCTRLFD_CONF7;pclk;reset_n;;;reg_vht_mumimo_useridx_3map;[31:0];32'h0;R/W;;;;~
0x0058;RXCTRLFD_CONF8;pclk;reset_n;;;;[31:13];19'h0;RO;;;;
;;;;;;reg_tb_mumimo_smooth_en;[12];1'd0;R/W;;;;~
;;;;;;reg_tb_muofdm_smooth_en;[11];1'd1;R/W;;;;~
;;;;;;reg_he_det_corr_thre    ;[10:5];6'd19;R/W;;;;
;;;;;;reg_hltf_mumimo_smooth_en;[4];1'd0;R/W;;;;
;;;;;;;[3];1'h0;RO;;;;
;;;;;;reg_lltf_smooth_en      ;[2];1'd1;R/W;;;;
